,complexity,loss,equation,score,sympy_format,lambda_format
0,1,4.207637,1.6485286,0.0,1.64852860000000,PySRFunction(X=>1.64852860000000)
1,3,2.0110688,11.368204 / x1,0.3691174427078335,11.368204/x1,PySRFunction(X=>11.368204/x1)
2,4,1.620806,cube(3.7450843 / x1),0.21574276565916461,52.5272656336645/x1**3,PySRFunction(X=>52.5272656336645/x1**3)
3,5,0.3886462,x1 / (x1 + -1.6033685),1.4280094171694646,x1/(x1 - 1.6033685),PySRFunction(X=>x1/(x1 - 1.6033685))
4,6,0.2720913,-0.07270242 / (0.9374477 - tanh(x1)),0.3565317464548234,-0.07270242/(0.9374477 - tanh(x1)),PySRFunction(X=>-0.07270242/(0.9374477 - tanh(x1)))
5,7,0.25862604,(0.33613756 / (x1 + -1.7416317)) + 1.1222286,0.05075451441496195,1.1222286 + 0.33613756/(x1 - 1.7416317),PySRFunction(X=>1.1222286 + 0.33613756/(x1 - 1.7416317))
6,8,0.25830775,(x1 / (square(x1) + -2.9698954)) + 1.0486318,0.0012314538007790813,x1/(x1**2 - 2.9698954) + 1.0486318,PySRFunction(X=>x1/(x1**2 - 2.9698954) + 1.0486318)
7,9,0.23093995,(x1 + (-3.7422485 / x1)) / (x1 + -1.809956),0.11199398350592048,(x1 - 3.7422485/x1)/(x1 - 1.809956),PySRFunction(X=>(x1 - 3.7422485/x1)/(x1 - 1.809956))
8,10,0.21594162,(-0.089102834 - (x1 * -0.00054559344)) / (0.9359395 - tanh(x1)),0.06714962664246844,(-(-0.00054559344)*x1 - 0.089102834)/(0.9359395 - tanh(x1)),PySRFunction(X=>(-(-0.00054559344)*x1 - 0.089102834)/(0.9359395 - tanh(x1)))
9,11,0.19833817,(0.26605973 / ((x1 / x0) + (-1.0916474 - x1))) + 1.1442297,0.08503459023997124,1.1442297 + 0.26605973/(-x1 - 1.0916474 + x1/x0),PySRFunction(X=>1.1442297 + 0.26605973/(-x1 - 1.0916474 + x1/x0))
10,12,0.17451462,(-0.072087504 / (0.9374496 - tanh(x1))) + (0.027032536 / (x0 + -1.5751045)),0.12796498276689125,0.027032536/(x0 - 1.5751045) - 0.072087504/(0.9374496 - tanh(x1)),PySRFunction(X=>0.027032536/(x0 - 1.5751045) - 0.072087504/(0.9374496 - tanh(x1)))
11,13,0.13588879,(x0 / ((x1 / x0) + -4.48543)) + (x1 / (x1 + -1.6116521)),0.2501716897359396,x0/(-4.48543 + x1/x0) + x1/(x1 - 1.6116521),PySRFunction(X=>x0/(-4.48543 + x1/x0) + x1/(x1 - 1.6116521))
12,14,0.124727234,(x1 / (x1 + -1.609895)) + (square(x0) / ((x1 / x0) + -4.3432717)),0.08570760564017882,x0**2/(-4.3432717 + x1/x0) + x1/(x1 - 1.609895),PySRFunction(X=>x0**2/(-4.3432717 + x1/x0) + x1/(x1 - 1.609895))
13,15,0.114845335,((x1 + -1.9576117) / ((x1 + -2.3302457) - cube(x0))) - cube(-3.8336196 / x1),0.0825429148792681,(x1 - 1.9576117)/(-x0**3 + x1 - 2.3302457) - (-1)*56.341324235025/x1**3,PySRFunction(X=>(x1 - 1.9576117)/(-x0**3 + x1 - 2.3302457) - (-1)*56.341324235025/x1**3)
14,16,0.110223375,(x1 / ((x1 + -1.3874103) - cube(x0))) - ((-0.7262834 / (x1 + -2.8573563)) - -0.13739355),0.04107732154920014,x1/(-x0**3 + x1 - 1.3874103) - (-1*(-0.13739355) - 0.7262834/(x1 - 2.8573563)),PySRFunction(X=>x1/(-x0**3 + x1 - 1.3874103) - (-1*(-0.13739355) - 0.7262834/(x1 - 2.8573563)))
15,17,0.08055694,((0.024371587 / (-1.5789373 + x0)) - -1.0650102) + (0.32279834 / ((x1 / x0) + (-1.0858164 - x1))),0.313544724985646,-1*(-1.0650102) + 0.32279834/(-x1 - 1.0858164 + x1/x0) + 0.024371587/(x0 - 1.5789373),PySRFunction(X=>-1*(-1.0650102) + 0.32279834/(-x1 - 1.0858164 + x1/x0) + 0.024371587/(x0 - 1.5789373))
16,19,0.073596135,(0.3270694 / ((-1.0856164 - x1) + (x1 / x0))) + (((0.046434313 / x0) / (-1.5761157 + x0)) - -1.0547643),0.0451858764043417,-1*(-1.0547643) + 0.3270694/(-x1 - 1.0856164 + x1/x0) + 0.046434313/(x0*(x0 - 1.5761157)),PySRFunction(X=>-1*(-1.0547643) + 0.3270694/(-x1 - 1.0856164 + x1/x0) + 0.046434313/(x0*(x0 - 1.5761157)))
