,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.933581,1.7482134,0.0,1.74821340000000,PySRFunction(X=>1.74821340000000)
1,3,0.49380174,x0 - -1.3331106,0.3184468144191946,x0 - 1*(-1.3331106),PySRFunction(X=>x0 - 1*(-1.3331106))
2,4,0.2972273,square(x0 + 0.84920776),0.5076369346385686,(x0 + 0.84920776)**2,PySRFunction(X=>(x0 + 0.84920776)**2)
3,5,0.28027964,(x0 + 0.33364838) * 2.3347201,0.05870934688845303,(x0 + 0.33364838)*2.3347201,PySRFunction(X=>(x0 + 0.33364838)*2.3347201)
4,6,0.27849442,3.3748815 - square(x0 - 1.642679),0.006389795811677816,3.3748815 - (x0 - 1*1.642679)**2,PySRFunction(X=>3.3748815 - (x0 - 1*1.642679)**2)
5,7,0.17917302,(-0.012820117 / (x0 - 0.8426587)) + 1.0390841,0.44104609208985757,1.0390841 - 0.012820117/(x0 - 1*0.8426587),PySRFunction(X=>1.0390841 - 0.012820117/(x0 - 1*0.8426587))
6,8,0.0922799,square((x0 + (-4.543234 / x1)) - -1.0815246),0.6635255815235822,(x0 - 1*(-1.0815246) - 4.543234/x1)**2,PySRFunction(X=>(x0 - 1*(-1.0815246) - 4.543234/x1)**2)
7,9,0.05234638,x0 * ((-8.217367 / (x1 - 3.0380714)) + 4.3481474),0.5669435646732018,x0*(4.3481474 - 8.217367/(x1 - 1*3.0380714)),PySRFunction(X=>x0*(4.3481474 - 8.217367/(x1 - 1*3.0380714)))
8,10,0.0035465197,square((-4.250398 / x1) + (0.8325893 - (x0 * -1.3772091))),2.6919160285564456,(-(-1.3772091)*x0 + 0.8325893 - 4.250398/x1)**2,PySRFunction(X=>(-(-1.3772091)*x0 + 0.8325893 - 4.250398/x1)**2)
9,11,0.00067774125,(((2.9609025 / x0) + -16.098627) / x1) - (x0 * -4.495077),1.6549564574687678,-(-4.495077)*x0 + (-16.098627 + 2.9609025/x0)/x1,PySRFunction(X=>-(-4.495077)*x0 + (-16.098627 + 2.9609025/x0)/x1)
10,12,0.00017557721,square((0.8256815 - (x0 * -1.3356698)) + (-3.5415578 / (x1 + -0.29288122))),1.3506866887509492,(-(-1.3356698)*x0 + 0.8256815 - 3.5415578/(x1 - 0.29288122))**2,PySRFunction(X=>(-(-1.3356698)*x0 + 0.8256815 - 3.5415578/(x1 - 0.29288122))**2)
11,13,0.00014504316,(((3.283123 / x0) + -17.893864) / (x1 + x0)) - (x0 * -4.515032),0.19104753587683135,-(-4.515032)*x0 + (-17.893864 + 3.283123/x0)/(x0 + x1),PySRFunction(X=>-(-4.515032)*x0 + (-17.893864 + 3.283123/x0)/(x0 + x1))
12,14,1.7230614e-05,((0.0008386957 / cube(x0)) + 1.7100414) + (((x0 * 0.17052686) + -0.09082779) * x1),2.130343667878125,x1*(x0*0.17052686 - 0.09082779) + 1.7100414 + 0.0008386957/(x0**3),PySRFunction(X=>x1*(x0*0.17052686 - 0.09082779) + 1.7100414 + 0.0008386957/(x0**3))
13,15,1.1368684e-14,(((1.802848 / x1) + (x0 - -0.02167073)) * ((x1 * 0.07322654) + 1.4117444)) - 0.059417646,21.139090964490894,(x1*0.07322654 + 1.4117444)*(x0 - 1*(-0.02167073) + 1.802848/x1) - 1*0.059417646,PySRFunction(X=>(x1*0.07322654 + 1.4117444)*(x0 - 1*(-0.02167073) + 1.802848/x1) - 1*0.059417646)
14,17,0.0,((0.103192255 + (x0 * 1.4117444)) + (2.5451605 / x1)) + (x1 * (0.0015868715 + (x0 * 0.073226556))),inf,x0*1.4117444 + x1*(x0*0.073226556 + 0.0015868715) + 0.103192255 + 2.5451605/x1,PySRFunction(X=>x0*1.4117444 + x1*(x0*0.073226556 + 0.0015868715) + 0.103192255 + 2.5451605/x1)
