,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.18141565,1.4733924,0.0,1.47339240000000,PySRFunction(X=>1.47339240000000)
1,4,0.13950574,1.4362744 / tanh(x1),0.08756168667342397,1.4362744/tanh(x1),PySRFunction(X=>1.4362744/tanh(x1))
2,5,0.085292354,(1.1632612 / x1) + 1.1100767,0.49202093346506504,1.1100767 + 1.1632612/x1,PySRFunction(X=>1.1100767 + 1.1632612/x1)
3,6,0.06121514,square(x1 + -16.897701) * 0.007806473,0.33169026935882917,(x1 - 16.897701)**2*0.007806473,PySRFunction(X=>(x1 - 16.897701)**2*0.007806473)
4,7,0.017736074,(0.007526064 / (x0 + -0.25997046)) + 1.5212021,1.2387938999341956,1.5212021 + 0.007526064/(x0 - 0.25997046),PySRFunction(X=>1.5212021 + 0.007526064/(x0 - 0.25997046))
5,8,0.017572852,x0 + (0.6515099 / tanh(x0 * x1)),0.009245433444018772,x0 + 0.6515099/tanh(x0*x1),PySRFunction(X=>x0 + 0.6515099/tanh(x0*x1))
6,9,0.008989236,(x0 - (-0.24661922 / (x1 * x0))) * 2.2431812,0.670327349608756,(x0 - (-1)*0.24661922/(x0*x1))*2.2431812,PySRFunction(X=>(x0 - (-1)*0.24661922/(x0*x1))*2.2431812)
7,10,0.0024894734,square(x0 + 0.55490726) + ((0.50954896 / x0) / x1),1.2839566593909126,(x0 + 0.55490726)**2 + 0.50954896/(x0*x1),PySRFunction(X=>(x0 + 0.55490726)**2 + 0.50954896/(x0*x1))
8,11,5.2098494e-07,(-0.49968028 / (x0 + -1.0003202)) - (-0.50027853 / (x0 * x1)),8.471860624745323,-0.49968028/(x0 - 1.0003202) - (-1)*0.50027853/(x0*x1),PySRFunction(X=>-0.49968028/(x0 - 1.0003202) - (-1)*0.50027853/(x0*x1))
9,13,6.606241e-08,(-0.5012346 / (x0 + -1.001291)) - (-0.4971417 / ((x1 * x0) + -0.002191483)),1.0325606170511101,-(-1)*0.4971417/(x0*x1 - 0.002191483) - 0.5012346/(x0 - 1.001291),PySRFunction(X=>-(-1)*0.4971417/(x0*x1 - 0.002191483) - 0.5012346/(x0 - 1.001291))
10,15,5.299486e-09,((-0.49737948 / (x0 + -0.9995529)) + 0.0036647676) - (-0.49725658 / ((x0 * x1) + -0.0020710574)),1.2614950332801194,0.0036647676 - (-1)*0.49725658/(x0*x1 - 0.0020710574) - 0.49737948/(x0 - 0.9995529),PySRFunction(X=>0.0036647676 - (-1)*0.49725658/(x0*x1 - 0.0020710574) - 0.49737948/(x0 - 0.9995529))
11,16,6.608566e-10,square((x0 - -0.57265) * 0.9973304) + (((-0.59094393 / x0) + 0.5241457) / (0.1201818 - x1)),2.081828241413442,0.99466792676416*(x0 - 1*(-0.57265))**2 + (0.5241457 - 0.59094393/x0)/(0.1201818 - x1),PySRFunction(X=>0.99466792676416*(x0 - 1*(-0.57265))**2 + (0.5241457 - 0.59094393/x0)/(0.1201818 - x1))
12,17,2.5870861e-12,(((-0.6490435 / x0) + 0.77695346) / (0.1413585 - x1)) + (((x0 + x0) * 1.0348874) + 0.15653716),5.543004687848073,(x0 + x0)*1.0348874 + 0.15653716 + (0.77695346 - 0.6490435/x0)/(0.1413585 - x1),PySRFunction(X=>(x0 + x0)*1.0348874 + 0.15653716 + (0.77695346 - 0.6490435/x0)/(0.1413585 - x1))
13,19,4.3343106e-14,(((-0.6742742 / x0) + 0.8650961) / ((x0 * 0.5053766) - x1)) + (((x0 + 0.14924817) + x0) * 1.0373352),2.044569901993948,(0.8650961 - 0.6742742/x0)/(x0*0.5053766 - x1) + (x0 + x0 + 0.14924817)*1.0373352,PySRFunction(X=>(0.8650961 - 0.6742742/x0)/(x0*0.5053766 - x1) + (x0 + x0 + 0.14924817)*1.0373352)
