,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.5693698,-2.5924652,0.0,-2.59246520000000,PySRFunction(X=>-2.59246520000000)
1,3,0.14148983,x0 * -0.050388176,1.2031007873883062,x0*(-0.050388176),PySRFunction(X=>x0*(-0.050388176))
2,5,0.058076758,(x0 * -0.04195284) + -0.5583581,0.44523114615472886,x0*(-0.04195284) - 0.5583581,PySRFunction(X=>x0*(-0.04195284) - 0.5583581)
3,7,0.0007319506,(800.4729 / (x0 + 93.04007)) + -8.503906,2.1869039015181357,-8.503906 + 800.4729/(x0 + 93.04007),PySRFunction(X=>-8.503906 + 800.4729/(x0 + 93.04007))
4,9,0.0007316274,((800.4729 / (x0 + 93.04007)) + -33389.74) - -33381.234,0.0002208286850810591,-33389.74 - 1*(-33381.234) + 800.4729/(x0 + 93.04007),PySRFunction(X=>-33389.74 - 1*(-33381.234) + 800.4729/(x0 + 93.04007))
5,11,0.00064025744,8.768677 / ((-95.88257 / x0) - (x0 / (x0 - 4.8020797))),0.06670051125108557,8.768677/(-x0/(x0 - 1*4.8020797) - 95.88257/x0),PySRFunction(X=>8.768677/(-x0/(x0 - 1*4.8020797) - 95.88257/x0))
6,13,0.0005016913,((0.13809146 / (x0 + -10.648955)) + -8.312864) - (-744.94836 / (x0 - -88.00886)),0.1219426775867439,-8.312864 - (-1)*744.94836/(x0 - 1*(-88.00886)) + 0.13809146/(x0 - 10.648955),PySRFunction(X=>-8.312864 - (-1)*744.94836/(x0 - 1*(-88.00886)) + 0.13809146/(x0 - 10.648955))
7,15,0.00050168985,(((0.13809144 / (x0 + -10.648947)) + -8.312864) - (-744.94836 / (x0 - -88.00886))) + 1.7463859e-5,1.445113853271497e-06,-8.312864 + 1.7463859e-5 - (-1)*744.94836/(x0 - 1*(-88.00886)) + 0.13809144/(x0 - 10.648947),PySRFunction(X=>-8.312864 + 1.7463859e-5 - (-1)*744.94836/(x0 - 1*(-88.00886)) + 0.13809144/(x0 - 10.648947))
8,17,0.0003156872,8.653186 / ((-93.40832 / (x0 + (-1.9281819 / (x0 + -14.366086)))) - (x0 / (x0 + -4.8766418))),0.23161512507536544,8.653186/(-x0/(x0 - 4.8766418) - 93.40832/(x0 - 1.9281819/(x0 - 14.366086))),PySRFunction(X=>8.653186/(-x0/(x0 - 4.8766418) - 93.40832/(x0 - 1.9281819/(x0 - 14.366086))))
9,19,0.00031480935,8.687163 / ((-94.22159 / (((-1.6753448 / (x0 + -14.581181)) - -0.10001223) + x0)) - (x0 / (x0 + -4.8882685))),0.0013923162105333303,8.687163/(-x0/(x0 - 4.8882685) - 94.22159/(x0 - 1*(-0.10001223) - 1.6753448/(x0 - 14.581181))),PySRFunction(X=>8.687163/(-x0/(x0 - 4.8882685) - 94.22159/(x0 - 1*(-0.10001223) - 1.6753448/(x0 - 14.581181))))
10,21,0.00030352164,8.728114 / ((-95.01513 / (x0 + ((5.5866294 / (x0 + -16.46591)) / (x0 + -10.41117)))) - (x0 / (x0 + -4.848263))),0.018257154029729147,8.728114/(-x0/(x0 - 4.848263) - 95.01513/(x0 + 5.5866294/((x0 - 16.46591)*(x0 - 10.41117)))),PySRFunction(X=>8.728114/(-x0/(x0 - 4.848263) - 95.01513/(x0 + 5.5866294/((x0 - 16.46591)*(x0 - 10.41117)))))
11,23,0.0002484919,(0.03840603 / (x0 + -83.19152)) - (-8.686628 / ((-93.99617 / (x0 + (-1.9118932 / (-14.367722 + x0)))) - (x0 / (-4.8790627 + x0)))),0.10002133000421462,-(-1)*8.686628/(-x0/(x0 - 4.8790627) - 93.99617/(x0 - 1.9118932/(x0 - 14.367722))) + 0.03840603/(x0 - 83.19152),PySRFunction(X=>-(-1)*8.686628/(-x0/(x0 - 4.8790627) - 93.99617/(x0 - 1.9118932/(x0 - 14.367722))) + 0.03840603/(x0 - 83.19152))
12,25,0.00024473603,8.77295 / ((-95.432106 / (x0 + 0.3052441)) + ((-0.56402296 / (-14.898344 + x0)) - (x0 / (x0 + (-4.9205303 + (-1.7371364 / (x0 + -83.11492))))))),0.007615024151054771,8.77295/(-x0/(x0 - 4.9205303 - 1.7371364/(x0 - 83.11492)) - 95.432106/(x0 + 0.3052441) - 0.56402296/(x0 - 14.898344)),PySRFunction(X=>8.77295/(-x0/(x0 - 4.9205303 - 1.7371364/(x0 - 83.11492)) - 95.432106/(x0 + 0.3052441) - 0.56402296/(x0 - 14.898344)))
13,27,0.0002292342,-8.771519 / ((x0 / ((-1.7781519 / (x0 + -83.10624)) + (x0 + -4.873958))) - (-95.7762 / (x0 + ((6.558094 / (x0 + -16.649567)) / (x0 + -10.579361))))),0.032718006380507904,-8.771519/(x0/(x0 - 4.873958 - 1.7781519/(x0 - 83.10624)) - (-1)*95.7762/(x0 + 6.558094/((x0 - 16.649567)*(x0 - 10.579361)))),PySRFunction(X=>-8.771519/(x0/(x0 - 4.873958 - 1.7781519/(x0 - 83.10624)) - (-1)*95.7762/(x0 + 6.558094/((x0 - 16.649567)*(x0 - 10.579361)))))
14,29,0.00020992238,-8.743571 / ((x0 / ((-1.7490889 / (x0 + -83.10582)) + (x0 + -4.9123693))) - (-95.08918 / (x0 - (((-1.3605267 / (-20.57524 + x0)) - -2.2306676) / (x0 + -13.9092455))))),0.044003172512488864,-8.743571/(x0/(x0 - 4.9123693 - 1.7490889/(x0 - 83.10582)) - (-1)*95.08918/(x0 - (-1*(-2.2306676) - 1.3605267/(x0 - 20.57524))/(x0 - 13.9092455))),PySRFunction(X=>-8.743571/(x0/(x0 - 4.9123693 - 1.7490889/(x0 - 83.10582)) - (-1)*95.08918/(x0 - (-1*(-2.2306676) - 1.3605267/(x0 - 20.57524))/(x0 - 13.9092455))))
