,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1386.0057,x0,0.0,x0,PySRFunction(X=>x0)
1,2,0.3608683,-1.013083,8.253423499452344,-1.01308300000000,PySRFunction(X=>-1.01308300000000)
2,4,0.010248417,x0 * -0.032546517,1.7806949085961021,x0*(-0.032546517),PySRFunction(X=>x0*(-0.032546517))
3,6,0.0102483025,(x0 / 1.0336403) - x0,5.586259791445937e-06,-x0 + x0/1.0336403,PySRFunction(X=>-x0 + x0/1.0336403)
4,7,0.0058647683,(x0 / -33.569798) + -0.11943817,0.5581491063297825,x0/(-33.569798) - 0.11943817,PySRFunction(X=>x0/(-33.569798) - 0.11943817)
5,9,0.00014003107,(x0 / (x0 + 108.751015)) * -5.0823636,1.867426964103817,x0*(-5.0823636)/(x0 + 108.751015),PySRFunction(X=>x0*(-5.0823636)/(x0 + 108.751015))
6,10,0.0001399467,-5.090675 - (-555.11755 / (x0 + 109.06127)),0.000602690724723346,-5.090675 - (-1)*555.11755/(x0 + 109.06127),PySRFunction(X=>-5.090675 - (-1)*555.11755/(x0 + 109.06127))
7,12,0.00013937458,(-0.0020446777 - (4.4914427 / (x0 - -99.92459))) * x0,0.002048253538289507,x0*(-0.0020446777 - 4.4914427/(x0 - 1*(-99.92459))),PySRFunction(X=>x0*(-0.0020446777 - 4.4914427/(x0 - 1*(-99.92459))))
8,15,0.00013937388,((4.4914427 / (-99.92459 - x0)) + -0.0020446777) * (x0 + 0.0006512863),1.6741497573837624e-06,(-0.0020446777 + 4.4914427/(-x0 - 99.92459))*(x0 + 0.0006512863),PySRFunction(X=>(-0.0020446777 + 4.4914427/(-x0 - 99.92459))*(x0 + 0.0006512863))
9,19,0.00013918849,((((-0.17738435 / (x0 + -0.25364077)) + -1.3665363e-6) * x0) + 0.17771713) * (x0 * x0),0.00033276215192155765,x0*x0*(x0*(-1.3665363e-6 - 0.17738435/(x0 - 0.25364077)) + 0.17771713),PySRFunction(X=>x0*x0*(x0*(-1.3665363e-6 - 0.17738435/(x0 - 0.25364077)) + 0.17771713))
10,21,0.00013916352,x0 * (((((-0.045633692 / ((x0 * x0) + -1.4324707)) + -1.4683962e-6) * x0) + 0.000346716) * x0),8.970655561988216e-05,x0*x0*(x0*(-1.4683962e-6 - 0.045633692/(x0*x0 - 1.4324707)) + 0.000346716),PySRFunction(X=>x0*x0*(x0*(-1.4683962e-6 - 0.045633692/(x0*x0 - 1.4324707)) + 0.000346716))
11,22,0.0001391573,(x0 + -6.988831) * (((x0 * -1.5038336e-6) + ((-0.043331925 / (x0 + -7.0316014)) + 0.0003398247)) * x0),4.4696620260256866e-05,x0*(x0 - 6.988831)*(x0*(-1.5038336e-6) + 0.0003398247 - 0.043331925/(x0 - 7.0316014)),PySRFunction(X=>x0*(x0 - 6.988831)*(x0*(-1.5038336e-6) + 0.0003398247 - 0.043331925/(x0 - 7.0316014)))
12,25,0.00013915675,((x0 * (-0.0010668776 - (-1.1324542 / (x0 + 790.3621)))) + ((0.0004102183 / (9.068662 - x0)) + -0.046018776)) * x0,1.3174565447343143e-06,x0*(x0*(-0.0010668776 - (-1)*1.1324542/(x0 + 790.3621)) - 0.046018776 + 0.0004102183/(9.068662 - x0)),PySRFunction(X=>x0*(x0*(-0.0010668776 - (-1)*1.1324542/(x0 + 790.3621)) - 0.046018776 + 0.0004102183/(9.068662 - x0)))
