,complexity,loss,equation,score,julia_expression,lambda_format
0,1,1.5448527,"f = #3; p1 = [-2.5924466, -3.4127674, 1.7937568, 0.8058267, -1.0130545, -0.5316079]; p2 = [-0.00021905972, -0.00023027955, 0.00018406702, 0.0011016607, -0.00012635085, 0.00038918952]",0.0,"f = #3; p1 = [-2.5924466, -3.4127674, 1.7937568, 0.8058267, -1.0130545, -0.5316079]; p2 = [-0.00021905972, -0.00023027955, 0.00018406702, 0.0011016607, -0.00012635085, 0.00038918952]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a8d3deca30>
1,3,0.13468781,"f = #3 * #1; p1 = [-0.05038816, -0.045402613, -0.040122688, -0.06457128, -0.03254559, -0.041154243]; p2 = [-0.096398644, 0.4056488, 0.16966456, -0.10466162, 0.24071953, -1.654598]",1.2198621315306721,"f = #3 * #1; p1 = [-0.05038816, -0.045402613, -0.040122688, -0.06457128, -0.03254559, -0.041154243]; p2 = [-0.096398644, 0.4056488, 0.16966456, -0.10466162, 0.24071953, -1.654598]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a8d3dec0d0>
2,5,0.08121974,"f = (#1 * #4) + #3; p1 = [-0.5583002, -0.78429216, -0.14082593, 0.19223279, -0.11937294, 0.3643595]; p2 = [-0.041954074, -0.037558958, -0.04183123, -0.061362326, -0.029790921, -0.044797774]",0.2529006304242475,"f = (#1 * #4) + #3; p1 = [-0.5583002, -0.78429216, -0.14082593, 0.19223279, -0.11937294, 0.3643595]; p2 = [-0.041954074, -0.037558958, -0.04183123, -0.061362326, -0.029790921, -0.044797774]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a8d3decd60>
3,7,0.007478813,"f = (#3 + (#1 * #4)) * #1; p1 = [-0.0737933, -0.07304226, -0.007590102, -0.05039052, -0.04346428, -0.056865573]; p2 = [0.00030938187, 0.0002468036, 0.00039361196, 0.0005315782, 0.0002253073, 0.00030214334]",1.1925421157584022,"f = (#3 + (#1 * #4)) * #1; p1 = [-0.0737933, -0.07304226, -0.007590102, -0.05039052, -0.04346428, -0.056865573]; p2 = [0.00030938187, 0.0002468036, 0.00039361196, 0.0005315782, 0.0002253073, 0.00030214334]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a8d3dec2b0>
4,8,0.004748525,"f = #1 * (#3 / (-143.19203 - #1)); p1 = [10.944676, 11.4644785, 2.213146, 7.342616, 6.2169647, 7.5064626]; p2 = [3.4996698, -5.162131, 2.2723598, 0.7064027, 0.94688445, -0.46388638]",0.4542400460467682,"f = #1 * (#3 / (-143.19203 - #1)); p1 = [10.944676, 11.4644785, 2.213146, 7.342616, 6.2169647, 7.5064626]; p2 = [3.4996698, -5.162131, 2.2723598, 0.7064027, 0.94688445, -0.46388638]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a8d3decbe0>
5,9,0.0011446703,"f = #1 * (#3 / (#2 + (#1 * #4))); p1 = [-11.073102, -12.186278, -4.3736167, -8.13364, -7.9451404, -8.878613]; p2 = [1.2305456, 1.2883835, 1.7294179, 1.4346527, 1.5634385, 1.1059414]",1.4227173955644006,"f = #1 * (#3 / (#2 + (#1 * #4))); p1 = [-11.073102, -12.186278, -4.3736167, -8.13364, -7.9451404, -8.878613]; p2 = [1.2305456, 1.2883835, 1.7294179, 1.4346527, 1.5634385, 1.1059414]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a8cfd1b100>
6,10,0.0011446668,"f = #3 * (#1 / ((#4 * #1) + -1941.3448)); p1 = [165.35583, 181.96794, 32.651253, 92.88248, 90.73552, 101.38957]; p2 = [-18.375843, -19.237307, -12.9146, -16.384157, -17.857311, -12.62921]",3.0576536763879843e-06,"f = #3 * (#1 / ((#4 * #1) + -1941.3448)); p1 = [165.35583, 181.96794, 32.651253, 92.88248, 90.73552, 101.38957]; p2 = [-18.375843, -19.237307, -12.9146, -16.384157, -17.857311, -12.62921]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a8cfd1b1f0>
7,11,0.0011446661,"f = #3 * (#1 / (((#4 * #1) / #3) + #2)); p1 = [-11.072189, -12.1845, -4.3726125, -8.133173, -7.944873, -8.878609]; p2 = [-13.622538, -15.694201, -7.5631266, -11.669732, -12.419854, -9.818923]",6.115318571771355e-07,"f = #3 * (#1 / (((#4 * #1) / #3) + #2)); p1 = [-11.072189, -12.1845, -4.3726125, -8.133173, -7.944873, -8.878609]; p2 = [-13.622538, -15.694201, -7.5631266, -11.669732, -12.419854, -9.818923]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a8cfd1b2e0>
8,12,0.0011400786,"f = ((-0.092794254 + #1) * #3) / ((#1 * #4) + #2); p1 = [-11.137904, -12.236405, -4.3663454, -8.135951, -8.003859, -8.875555]; p2 = [1.2440907, 1.2963972, 1.7300813, 1.4265349, 1.59054, 1.099245]",0.00401577135948189,"f = ((-0.092794254 + #1) * #3) / ((#1 * #4) + #2); p1 = [-11.137904, -12.236405, -4.3663454, -8.135951, -8.003859, -8.875555]; p2 = [1.2440907, 1.2963972, 1.7300813, 1.4265349, 1.59054, 1.099245]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a8cfd1b3d0>
9,13,0.0011319685,"f = (#1 + (#3 / #2)) * (#3 / ((#4 * #1) + #2)); p1 = [-11.134238, -12.236096, -4.372237, -8.135874, -7.971883, -8.8766365]; p2 = [1.243393, 1.2963109, 1.7295398, 1.4300551, 1.5752914, 1.1021007]",0.0071390548593712215,"f = (#1 + (#3 / #2)) * (#3 / ((#4 * #1) + #2)); p1 = [-11.134238, -12.236096, -4.372237, -8.135874, -7.971883, -8.8766365]; p2 = [1.243393, 1.2963109, 1.7295398, 1.4300551, 1.5752914, 1.1021007]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a8cfd1b4c0>
10,14,0.001037256,"f = #3 * (((#3 * #1) - #4) / ((#4 * #1) + -183.78395)); p1 = [-4.0153046, 4.108659, 1.7700725, -2.9698603, 2.8651206, 3.1004677]; p2 = [-1.8376075, -1.7647046, -1.2182629, -1.4971064, -1.5072184, -1.2275176]",0.08737938779819161,"f = #3 * (((#3 * #1) - #4) / ((#4 * #1) + -183.78395)); p1 = [-4.0153046, 4.108659, 1.7700725, -2.9698603, 2.8651206, 3.1004677]; p2 = [-1.8376075, -1.7647046, -1.2182629, -1.4971064, -1.5072184, -1.2275176]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a8cfd1b5b0>
11,15,0.00089632126,"f = (((#3 / ((#4 * #1) + -762.1653)) + -0.0012565176) * #3) * #1; p1 = [-8.439258, 8.386066, 3.261408, -6.5467463, 5.5763664, -6.8528266]; p2 = [-5.5267878, -11.805193, -5.32427, -5.7297473, -9.66179, -4.216286]",0.1460351459039361,"f = (((#3 / ((#4 * #1) + -762.1653)) + -0.0012565176) * #3) * #1; p1 = [-8.439258, 8.386066, 3.261408, -6.5467463, 5.5763664, -6.8528266]; p2 = [-5.5267878, -11.805193, -5.32427, -5.7297473, -9.66179, -4.216286]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a8cfd1b6a0>
