complexity,loss,equation,score,julia_expression,lambda_format,simplification_justification,original_complexity
1,2.2731464,"f = #4; p1 = [1.7319524, 0.025571654, 0.17134485, -0.09403272, -0.45509914, -0.010037557]; p2 = [-2.5924058, -3.4127855, 1.7938447, 0.80586696, -1.0131347, -0.53159976]",0.0,"f = #4; p1 = [1.7319524, 0.025571654, 0.17134485, -0.09403272, -0.45509914, -0.010037557]; p2 = [-2.5924058, -3.4127855, 1.7938447, 0.80586696, -1.0131347, -0.53159976]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483581a910>,,1
3,0.20114866,"f = #4 * #1; p1 = [0.36814228, 0.492269, 0.5559638, 0.48290223, -0.46636438, -1.5051135]; p2 = [-0.050388224, -0.045402493, -0.040122636, -0.06456729, -0.032547135, -0.041155715]",1.2124379966855356,"f = #4 * #1; p1 = [0.36814228, 0.492269, 0.5559638, 0.48290223, -0.46636438, -1.5051135]; p2 = [-0.050388224, -0.045402493, -0.040122636, -0.06456729, -0.032547135, -0.041155715]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483581a190>,,3
5,0.13146748,"f = (#4 * #1) - #3; p1 = [0.55836356, 0.784269, 0.14095604, -0.19221132, 0.11935272, -0.36433885]; p2 = [-0.04195255, -0.037559, -0.04183254, -0.06136252, -0.02979123, -0.044797592]",0.212642358012273,"f = (#4 * #1) - #3; p1 = [0.55836356, 0.784269, 0.14095604, -0.19221132, 0.11935272, -0.36433885]; p2 = [-0.04195255, -0.037559, -0.04183254, -0.06136252, -0.02979123, -0.044797592]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483581ad90>,,5
7,0.0016277536,"f = #4 * (#1 / (#1 + #3)); p1 = [105.69385, 100.80714, 150.36247, 118.65149, 108.67816, 153.68303]; p2 = [-9.001047, -9.453918, -2.530063, -5.680111, -5.0798187, -8.026392]",2.1957793079397923,"f = #4 * (#1 / (#1 + #3)); p1 = [105.69385, 100.80714, 150.36247, 118.65149, 108.67816, 153.68303]; p2 = [-9.001047, -9.453918, -2.530063, -5.680111, -5.0798187, -8.026392]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483581a880>,,7
9,0.0015866762,"f = #4 * ((#1 / (#3 + #1)) + 0.001857861); p1 = [108.060104, 102.14579, 150.63345, 116.79226, 111.75943, 151.02272]; p2 = [-9.076067, -9.479478, -2.5452561, -5.570814, -5.145553, -7.8808928]",0.0127797584068478,"f = #4 * ((#1 / (#3 + #1)) + 0.001857861); p1 = [108.060104, 102.14579, 150.63345, 116.79226, 111.75943, 151.02272]; p2 = [-9.076067, -9.479478, -2.5452561, -5.570814, -5.145553, -7.8808928]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483581ad30>,,9
11,0.001415948,"f = #4 / ((446.35013 / (#1 + (4.059152 - #3))) + #3); p1 = [4.6560693, 4.4177694, 2.9762135, 3.8577366, 4.054142, 3.102683]; p2 = [-39.783, -41.913895, -7.7152505, -21.286854, -20.781858, -23.543514]",0.0569210582635778,"f = #4 / ((446.35013 / (#1 + (4.059152 - #3))) + #3); p1 = [4.6560693, 4.4177694, 2.9762135, 3.8577366, 4.054142, 3.102683]; p2 = [-39.783, -41.913895, -7.7152505, -21.286854, -20.781858, -23.543514]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483574c100>,,11
13,0.0012666729,"f = #1 * ((#4 / (#3 + #1)) + (-0.007168458 / (#1 - #2))); p1 = [106.791, 98.15984, 150.24185, 119.33931, 108.731865, 154.41002]; p2 = [-9.084116, -9.333274, -2.5260189, -5.7301373, -5.0907445, -8.073064]",0.0557027861643103,"f = #1 * ((#4 / (#3 + #1)) + (-0.007168458 / (#1 - #2))); p1 = [106.791, 98.15984, 150.24185, 119.33931, 108.731865, 154.41002]; p2 = [-9.084116, -9.333274, -2.5260189, -5.7301373, -5.0907445, -8.073064]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483574c1f0>,,13
15,0.0010487913,"f = ((((#4 - #1) / (#2 + (#1 * #3))) / -23.15166) - 0.03140399) * #1; p1 = [0.7668671, 1.8764815, 1.9174399, 1.4850038, 0.8028281, 0.5404414]; p2 = [155.5096, 213.15454, -69.798035, 64.55321, 53.364563, 91.209015]",0.0943776704331569,"f = ((((#4 - #1) / (#2 + (#1 * #3))) / -23.15166) - 0.03140399) * #1; p1 = [0.7668671, 1.8764815, 1.9174399, 1.4850038, 0.8028281, 0.5404414]; p2 = [155.5096, 213.15454, -69.798035, 64.55321, 53.364563, 91.209015]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483574c2e0>,,15
17,0.00078515575,"f = #1 * (((#4 - #1) / (((#3 * #1) + (#2 + 78.4582)) / -0.06855279)) - 0.032619823); p1 = [1.3068771, 2.6383789, 2.3466926, 2.091649, 1.6196901, 0.51793844]; p2 = [152.4656, 198.31075, -73.101036, 55.2074, 47.318565, 82.84103]",0.1447557657375248,"f = #1 * (((#4 - #1) / (((#3 * #1) + (#2 + 78.4582)) / -0.06855279)) - 0.032619823); p1 = [1.3068771, 2.6383789, 2.3466926, 2.091649, 1.6196901, 0.51793844]; p2 = [152.4656, 198.31075, -73.101036, 55.2074, 47.318565, 82.84103]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483574c3d0>,,17
19,0.00063765654,"f = (-0.03587952 - (((0.19489288 / (#2 + ((#1 * #3) + 273.6446))) + -0.00015202032) * (#4 - #1))) * #1; p1 = [1.5767487, 2.78553, 3.1039846, 2.9598382, 1.4628663, 0.511308]; p2 = [138.47726, 180.66293, -80.06475, 41.26791, 33.049877, 69.23147]",0.1040411529574792,"f = (-0.03587952 - (((0.19489288 / (#2 + ((#1 * #3) + 273.6446))) + -0.00015202032) * (#4 - #1))) * #1; p1 = [1.5767487, 2.78553, 3.1039846, 2.9598382, 1.4628663, 0.511308]; p2 = [138.47726, 180.66293, -80.06475, 41.26791, 33.049877, 69.23147]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483574c4c0>,,19
21,0.00062941975,"f = #1 * (-0.034337178 - (((0.19670615 / ((#2 + ((#1 + 10.531041) * #3)) + 289.71585)) + -0.0001353792) * (#4 - #1))); p1 = [1.8060726, 3.3182616, 3.4989696, 3.4750295, 1.5967996, 0.5045985]; p2 = [150.33621, 207.53203, -77.08844, 51.270763, 39.60144, 75.116356]",0.0065007183006887,"f = #1 * (-0.034337178 - (((0.19670615 / ((#2 + ((#1 + 10.531041) * #3)) + 289.71585)) + -0.0001353792) * (#4 - #1))); p1 = [1.8060726, 3.3182616, 3.4989696, 3.4750295, 1.5967996, 0.5045985]; p2 = [150.33621, 207.53203, -77.08844, 51.270763, 39.60144, 75.116356]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483574c5b0>,,21
23,0.00040538266,"f = #1 * (((#4 + (#1 * -0.13226616)) / ((((136.7274 / (#1 - #2)) - #3) * #1) + (-258.55063 - #2))) - 0.04057753); p1 = [1.3059125, 1.7002705, 3.2323785, 3.4607592, 0.95184386, -0.3792623]; p2 = [16.11021, 19.298307, -11.682853, 3.0720563, 2.0630903, 6.761288]",0.2199834513481824,"f = #1 * (((#4 + (#1 * -0.13226616)) / ((((136.7274 / (#1 - #2)) - #3) * #1) + (-258.55063 - #2))) - 0.04057753); p1 = [1.3059125, 1.7002705, 3.2323785, 3.4607592, 0.95184386, -0.3792623]; p2 = [16.11021, 19.298307, -11.682853, 3.0720563, 2.0630903, 6.761288]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483574c6a0>,,23
25,0.00038092845,"f = #1 * ((((#1 * -0.13962744) - #4) / ((((389.81912 / (#1 - #2)) - 2.9239285) * (#3 * #1)) + (-293.2091 - #2))) - 0.040686954); p1 = [0.35878873, 0.5092156, 0.9657543, 0.96016693, 0.3347743, 0.122388914]; p2 = [-16.825176, -21.096163, 12.351706, -3.2399147, -2.0918772, -7.1306915]",0.0311099491587283,"f = #1 * ((((#1 * -0.13962744) - #4) / ((((389.81912 / (#1 - #2)) - 2.9239285) * (#3 * #1)) + (-293.2091 - #2))) - 0.040686954); p1 = [0.35878873, 0.5092156, 0.9657543, 0.96016693, 0.3347743, 0.122388914]; p2 = [-16.825176, -21.096163, 12.351706, -3.2399147, -2.0918772, -7.1306915]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483574c790>,,25
27,0.00037165292,"f = #1 * ((((#1 * -0.1300545) + #4) / ((#1 * (((#4 * #4) / (#1 - (#2 + 35.52717))) - #3)) + (-265.84045 - #2))) - 0.039691947); p1 = [0.27596045, -0.7005269, 3.3572433, 4.1491356, 2.0932844, 0.40095177]; p2 = [16.175583, 18.762926, -11.316617, 3.5185921, 2.3777692, 7.116068]",0.0123255771101823,"f = #1 * ((((#1 * -0.1300545) + #4) / ((#1 * (((#4 * #4) / (#1 - (#2 + 35.52717))) - #3)) + (-265.84045 - #2))) - 0.039691947); p1 = [0.27596045, -0.7005269, 3.3572433, 4.1491356, 2.0932844, 0.40095177]; p2 = [16.175583, 18.762926, -11.316617, 3.5185921, 2.3777692, 7.116068]",<pysr.expression_specs.CallableJuliaExpression object at 0x15483574c880>,,27
