,complexity,loss,equation,score,sympy_format,lambda_format
0,1,13.130937,2.711736,0.0,2.71173600000000,PySRFunction(X=>2.71173600000000)
1,3,12.828104,x0 + 2.0901015,0.011666329997619856,x0 + 2.0901015,PySRFunction(X=>x0 + 2.0901015)
2,5,11.60453,-3.880309 / (x0 + -3.0573256),0.05012142497085772,-3.880309/(x0 - 3.0573256),PySRFunction(X=>-3.880309/(x0 - 3.0573256))
3,6,10.28281,-2.173323 / tanh(x0 + -2.946011),0.12092197014345968,-2.173323/tanh(x0 - 2.946011),PySRFunction(X=>-2.173323/tanh(x0 - 2.946011))
4,7,9.990436,(-0.3540968 / (x0 + -2.8539827)) + 2.3121884,0.028845333626477006,2.3121884 - 0.3540968/(x0 - 2.8539827),PySRFunction(X=>2.3121884 - 0.3540968/(x0 - 2.8539827))
5,8,9.945598,-2.5168908 / tanh(x1 * (x0 + -2.8868904)),0.004498194134639128,-2.5168908/tanh(x1*(x0 - 2.8868904)),PySRFunction(X=>-2.5168908/tanh(x1*(x0 - 2.8868904)))
6,9,9.623497,(x0 + 1.9367472) + (-0.012141494 / (x0 + -0.29048353)),0.03292232908101173,x0 + 1.9367472 - 0.012141494/(x0 - 0.29048353),PySRFunction(X=>x0 + 1.9367472 - 0.012141494/(x0 - 0.29048353))
7,10,9.193352,-1.4170252 / tanh((x0 + -3.1935728) + (0.81703323 / x0)),0.04572709798426133,-1.4170252/tanh(x0 - 3.1935728 + 0.81703323/x0),PySRFunction(X=>-1.4170252/tanh(x0 - 3.1935728 + 0.81703323/x0))
8,11,6.955504,(-0.061897043 / ((x0 + -1.6349219) - (2.8521266 / x1))) + 2.351625,0.2789473255500492,2.351625 - 0.061897043/(x0 - 1.6349219 - 2.8521266/x1),PySRFunction(X=>2.351625 - 0.061897043/(x0 - 1.6349219 - 2.8521266/x1))
9,13,6.824598,(-0.009874193 / (x0 + -0.29035735)) + ((-0.59454733 / (x0 + -2.8670394)) + 2.006941),0.009499925182201935,2.006941 - 0.009874193/(x0 - 0.29035735) - 0.59454733/(x0 - 2.8670394),PySRFunction(X=>2.006941 - 0.009874193/(x0 - 0.29035735) - 0.59454733/(x0 - 2.8670394))
10,14,6.747073,(-0.061897043 / ((x0 + -1.6349219) - (2.8521266 / x1))) + (2.3306022 / tanh(x1)),0.011424657027091478,2.3306022/tanh(x1) - 0.061897043/(x0 - 1.6349219 - 2.8521266/x1),PySRFunction(X=>2.3306022/tanh(x1) - 0.061897043/(x0 - 1.6349219 - 2.8521266/x1))
11,15,5.329958,(-2.8562014 / (x0 + -2.984693)) + ((-0.06055383 / (x0 + -1.6624459)) / (x0 - 0.28733993)),0.23576542298853967,-0.06055383/((x0 - 1.6624459)*(x0 - 1*0.28733993)) - 2.8562014/(x0 - 2.984693),PySRFunction(X=>-0.06055383/((x0 - 1.6624459)*(x0 - 1*0.28733993)) - 2.8562014/(x0 - 2.984693))
12,16,4.345779,((-0.0589203 / (x0 + -1.6624459)) / (x0 - 0.28733993)) + (-1.7975858 / tanh(x0 + -2.9250884)),0.20413832903805973,-1.7975858/tanh(x0 - 2.9250884) - 0.0589203/((x0 - 1.6624459)*(x0 - 1*0.28733993)),PySRFunction(X=>-1.7975858/tanh(x0 - 2.9250884) - 0.0589203/((x0 - 1.6624459)*(x0 - 1*0.28733993)))
13,17,3.7691686,(-0.057340536 / ((x0 + -1.6346596) - (2.8519902 / x1))) + ((-0.009709341 / (x0 + -0.29035074)) + 2.1916053),0.14235058254818037,2.1916053 - 0.057340536/(x0 - 1.6346596 - 2.8519902/x1) - 0.009709341/(x0 - 0.29035074),PySRFunction(X=>2.1916053 - 0.057340536/(x0 - 1.6346596 - 2.8519902/x1) - 0.009709341/(x0 - 0.29035074))
14,19,3.70103,((-0.059306942 / (x0 + -1.6624459)) / (x0 - 0.28733993)) + (((-3.784542 / x1) / (x0 + -2.9202006)) - -1.6636341),0.00912164367351379,-1*(-1.6636341) - 0.059306942/((x0 - 1.6624459)*(x0 - 1*0.28733993)) - 3.784542/(x1*(x0 - 2.9202006)),PySRFunction(X=>-1*(-1.6636341) - 0.059306942/((x0 - 1.6624459)*(x0 - 1*0.28733993)) - 3.784542/(x1*(x0 - 2.9202006)))
15,20,3.556753,(-0.057340536 / ((x0 + -1.6346596) - (2.8519902 / x1))) + ((-0.009709341 / (x0 + -0.29035074)) + (2.181896 / tanh(x1))),0.0397631092730542,2.181896/tanh(x1) - 0.057340536/(x0 - 1.6346596 - 2.8519902/x1) - 0.009709341/(x0 - 0.29035074),PySRFunction(X=>2.181896/tanh(x1) - 0.057340536/(x0 - 1.6346596 - 2.8519902/x1) - 0.009709341/(x0 - 0.29035074))
