,complexity,loss,equation,score,sympy_format,lambda_format
0,1,9.829119,2.5550284,0.0,2.55502840000000,PySRFunction(X=>2.55502840000000)
1,3,7.7930646,x0 * 5.1074657,0.11605756111189243,x0*5.1074657,PySRFunction(X=>x0*5.1074657)
2,4,5.576203,cube(x0) * 9.166995,0.33472610549627035,x0**3*9.166995,PySRFunction(X=>x0**3*9.166995)
3,5,2.416911,-0.61440474 / (x0 + -1.0073092),0.8360178002852241,-0.61440474/(x0 - 1.0073092),PySRFunction(X=>-0.61440474/(x0 - 1.0073092))
4,6,2.1529505,-1.3910809 / (cube(x0) + -0.9958698),0.11565105159331993,-1.3910809/(x0**3 - 0.9958698),PySRFunction(X=>-1.3910809/(x0**3 - 0.9958698))
5,8,2.010357,(x0 + 0.049267218) / (x0 - cube(x0)),0.034263454351335446,(x0 + 0.049267218)/(-x0**3 + x0),PySRFunction(X=>(x0 + 0.049267218)/(-x0**3 + x0))
6,9,1.3566928,0.55424595 / (((-0.030760294 / x0) - x0) + 1.0350384),0.3932623447400199,0.55424595/(-x0 + 1.0350384 - 0.030760294/x0),PySRFunction(X=>0.55424595/(-x0 + 1.0350384 - 0.030760294/x0))
7,10,0.47504815,0.5467049 / ((1.0041511 - x0) * tanh(x1 * x0)),1.0493890851640042,0.5467049/(((1.0041511 - x0)*tanh(x0*x1))),PySRFunction(X=>0.5467049/(((1.0041511 - x0)*tanh(x0*x1))))
8,12,0.45045003,(0.51883316 / (1.0024619 - x0)) / (tanh(x1 * x0) + -0.0072988747),0.026584508810374646,0.51883316/((1.0024619 - x0)*(tanh(x0*x1) - 0.0072988747)),PySRFunction(X=>0.51883316/((1.0024619 - x0)*(tanh(x0*x1) - 0.0072988747)))
9,14,0.39573878,(0.495017 / (1.0012807 - x0)) - (0.5450569 / (cube(x0) - (x1 * x0))),0.06474640128506691,-0.5450569/(x0**3 - x0*x1) + 0.495017/(1.0012807 - x0),PySRFunction(X=>-0.5450569/(x0**3 - x0*x1) + 0.495017/(1.0012807 - x0))
10,15,0.39116585,(0.50811154 / (1.0018026 - x0)) - (((-0.5433606 / x0) - -0.29888934) / (x1 - x0)),0.01162270827821376,-(-1*(-0.29888934) - 0.5433606/x0)/(-x0 + x1) + 0.50811154/(1.0018026 - x0),PySRFunction(X=>-(-1*(-0.29888934) - 0.5433606/x0)/(-x0 + x1) + 0.50811154/(1.0018026 - x0))
11,16,0.35893276,((tanh(x1) + -0.49607256) / (1.0010264 - x0)) - ((-0.5154853 / (x1 - x0)) / x0),0.08599656595349629,(tanh(x1) - 0.49607256)/(1.0010264 - x0) - (-1)*0.5154853/(x0*(-x0 + x1)),PySRFunction(X=>(tanh(x1) - 0.49607256)/(1.0010264 - x0) - (-1)*0.5154853/(x0*(-x0 + x1)))
12,17,0.3141823,(((-0.2791425 / x1) + 0.5476766) / (1.0018033 - x0)) - ((-0.52270615 / (x1 - x0)) / x0),0.13316168220645466,(0.5476766 - 0.2791425/x1)/(1.0018033 - x0) - (-1)*0.52270615/(x0*(-x0 + x1)),PySRFunction(X=>(0.5476766 - 0.2791425/x1)/(1.0018033 - x0) - (-1)*0.52270615/(x0*(-x0 + x1)))
13,19,0.19097479,((-0.6161219 - (-0.5462441 / x0)) / ((x1 + -0.045830812) - (x0 * x1))) + (0.53110385 / (1.0010238 - x0)),0.24891598044138247,(-0.6161219 - (-1)*0.5462441/x0)/(-x0*x1 + x1 - 0.045830812) + 0.53110385/(1.0010238 - x0),PySRFunction(X=>(-0.6161219 - (-1)*0.5462441/x0)/(-x0*x1 + x1 - 0.045830812) + 0.53110385/(1.0010238 - x0))
