,complexity,loss,equation,score,sympy_format,lambda_format
0,1,21.431866,2.8610318,0.0,2.86103180000000,PySRFunction(X=>2.86103180000000)
1,3,14.241366,x0 * 7.234723,0.2043640257701885,x0*7.234723,PySRFunction(X=>x0*7.234723)
2,4,7.1769195,cube(x0 * 2.3769064),0.6852805763500702,13.4287701392504*x0**3,PySRFunction(X=>13.4287701392504*x0**3)
3,5,0.27184314,-0.5771578 / (x0 + -1.0038408),3.2734003222122796,-0.5771578/(x0 - 1.0038408),PySRFunction(X=>-0.5771578/(x0 - 1.0038408))
4,6,0.17381443,-0.98802435 / (square(x0) + -0.9998127),0.447236972917223,-0.98802435/(x0**2 - 0.9998127),PySRFunction(X=>-0.98802435/(x0**2 - 0.9998127))
5,8,0.16172619,-1.1251395 / tanh((-1.0053886 / x0) + x0),0.036041757889639266,-1.1251395/tanh(x0 - 1.0053886/x0),PySRFunction(X=>-1.1251395/tanh(x0 - 1.0053886/x0))
6,9,0.12639458,(1.3060254 / x1) + (-0.48820198 / (-0.9995754 + x0)),0.2464961190261514,-0.48820198/(x0 - 0.9995754) + 1.3060254/x1,PySRFunction(X=>-0.48820198/(x0 - 0.9995754) + 1.3060254/x1)
7,10,0.08791451,(1.0115966 / x1) + (-0.8746115 / (square(x0) + -0.9944665)),0.3630437360309648,-0.8746115/(x0**2 - 0.9944665) + 1.0115966/x1,PySRFunction(X=>-0.8746115/(x0**2 - 0.9944665) + 1.0115966/x1)
8,11,0.0001718885,(0.49861988 / (x1 * x0)) + (-0.5012991 / (x0 + -1.000058)),6.237274133206883,-0.5012991/(x0 - 1.000058) + 0.49861988/((x0*x1)),PySRFunction(X=>-0.5012991/(x0 - 1.000058) + 0.49861988/((x0*x1)))
9,13,0.00012616262,((0.50367624 / (x0 * x1)) + -0.009910082) + (-0.501651 / (x0 + -1.0000589)),0.15463715053602892,-0.009910082 - 0.501651/(x0 - 1.0000589) + 0.50367624/((x0*x1)),PySRFunction(X=>-0.009910082 - 0.501651/(x0 - 1.0000589) + 0.50367624/((x0*x1)))
10,15,0.00012460003,(-0.009624147 - (0.50164443 / (x0 + -1.0000589))) + ((0.5016565 / (x1 + -0.007395852)) / x0),0.006231431297500735,-0.009624147 - 0.50164443/(x0 - 1.0000589) + 0.5016565/(x0*(x1 - 0.007395852)),PySRFunction(X=>-0.009624147 - 0.50164443/(x0 - 1.0000589) + 0.5016565/(x0*(x1 - 0.007395852)))
11,18,0.00012421254,((-0.009624741 / tanh(x1)) - (0.50164443 / (x0 + -1.0000589))) + ((0.50141597 / (x1 - 0.01018816)) / x0),0.0010382388458593792,-0.009624741/tanh(x1) - 0.50164443/(x0 - 1.0000589) + 0.50141597/(x0*(x1 - 1*0.01018816)),PySRFunction(X=>-0.009624741/tanh(x1) - 0.50164443/(x0 - 1.0000589) + 0.50141597/(x0*(x1 - 1*0.01018816)))
